City_ID,City,Country,Max Temp,Current Description,Lat,Lon,Hotel Name
533,tabalosos,PE,71.6,mist,-6.35,-76.6833,Proyecto de Lounge Nazareth
537,robat karim,IR,73.4,scattered clouds,35.4846,51.0829,لوازم خانگي شايان
538,pangkalanbuun,ID,75.4,light rain,-2.6833,111.6167,Grand Kecubung Hotel
540,bahia honda,CU,87.22,broken clouds,22.9036,-83.1592,Casa Gualberto - Deysi
541,robertsport,LR,83.08,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
542,ortigueira,BR,82.33,clear sky,-24.2083,-50.9494,Village Das Araucarias
545,carlagan,PH,78.73,scattered clouds,14.975,122.0456,Cabatagan Island
550,pecanha,BR,74.55,few clouds,-18.5486,-42.5569,PEÇANHA GRANDE HOTEL
552,alugan,PH,78.85,overcast clouds,12.2188,125.4808,JM Lodge
555,barra do garcas,BR,89.6,scattered clouds,-15.89,-52.2567,Hotel Pousada Tropical
556,macau,MO,71.6,scattered clouds,22.2006,113.5461,Grand Emperor Hotel
559,mangaluru,IN,80.6,few clouds,12.8667,74.8833,Goldfinch Mangaluru
562,sola,VU,78.89,overcast clouds,-13.8833,167.55,Leumerus Bungalows
563,salinopolis,BR,84.47,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
564,aliwal north,ZA,71.58,few clouds,-30.6937,26.7114,Queens Terrace B&B
565,betioky,MG,76.95,clear sky,-23.7167,44.3833,Bungalows Acacias Hotel
566,sechura,PE,79.07,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
569,twentynine palms,US,75.99,clear sky,34.1356,-116.0542,Holiday Inn Express & Suites Twentynine Palms- Joshua Tree
570,aitape,PG,77.72,overcast clouds,-3.1374,142.3475,
573,thinadhoo,MV,83.61,overcast clouds,0.5333,72.9333,
575,guacimo,CR,80.6,clear sky,10.2104,-83.6807,Hotel Los Ríos
578,beloha,MG,73.29,clear sky,-25.1667,45.05,
583,weligama,LK,78.53,clear sky,5.9667,80.4167,Weligama Bay Resort
588,kudahuvadhoo,MV,83.05,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
589,ca mau,VN,81.0,clear sky,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
591,utete,TZ,74.86,light rain,-7.986000000000001,38.758,River View Lodge
594,pata,PH,71.37,few clouds,17.7152,121.5018,Israel Bakeshop
598,miri,MY,78.8,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
600,bauta,CU,86.0,scattered clouds,22.9828,-82.5464,El Refugio
602,labrea,BR,77.81,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
603,marsabit,KE,72.73,overcast clouds,2.3284,37.9899,Chicho Hotel
608,hit,IQ,76.08,scattered clouds,33.6416,42.8251,صالون زيرو
609,piura,PE,83.91,broken clouds,-5.2,-80.6333,Hotel El Sol
611,bosaso,SO,80.38,clear sky,11.2842,49.1816,Red Sea Hotel
613,karera,IN,85.28,scattered clouds,25.4667,78.15,साहू चाट कार्नर
615,carutapera,BR,83.53,light rain,-1.195,-46.02,Lidera
620,ambilobe,MG,75.24,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
621,santa cruz do rio pardo,BR,84.7,few clouds,-22.8989,-49.6325,Hotel Os Galeguinhos
