City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
217,Calama,CL,2021-04-08 01:58:14,-22.4667,-68.9333,59.0,21,0,5.75
218,Sistranda,NO,2021-04-08 01:58:14,63.7256,8.834,30.2,93,75,17.27
219,Ilulissat,GL,2021-04-08 01:58:15,69.2167,-51.1,17.6,62,75,2.3
220,Saint-Augustin,CA,2021-04-08 01:58:15,51.226,-58.6502,33.19,91,20,6.89
221,Falam,MM,2021-04-08 01:58:15,22.9167,93.6833,75.42,32,0,0.56
222,Lasa,IT,2021-04-08 01:58:16,46.6166,10.7002,27.0,86,75,3.44
223,Nelidovo,RU,2021-04-08 01:58:08,56.2211,32.7774,29.97,87,100,7.2
224,Gushikawa,JP,2021-04-08 01:58:16,26.3544,127.8686,73.4,56,1,8.05
225,Sola,VU,2021-04-08 01:58:17,-13.8833,167.55,82.62,66,29,3.96
226,Carballo,ES,2021-04-08 01:58:17,43.213,-8.691,48.99,76,0,1.14
227,Camaqua,BR,2021-04-08 01:58:18,-30.8511,-51.8122,70.21,76,0,10.85
228,Ginir,ET,2021-04-08 01:58:18,7.1333,40.7,58.01,70,6,2.77
229,Narsaq,GL,2021-04-08 01:58:18,60.9167,-46.05,35.6,64,75,1.14
230,Tumut,AU,2021-04-08 01:58:19,-35.3,148.2167,75.2,60,0,5.75
231,Port Blair,IN,2021-04-08 01:58:19,11.6667,92.75,83.41,68,56,1.25
232,Singkang,MY,2021-04-08 01:58:20,2.1006,102.7994,77.0,94,20,3.44
233,Oskemen,KZ,2021-04-08 01:58:20,49.9565,82.6119,33.8,100,75,2.24
234,Tocopilla,CL,2021-04-08 01:58:21,-22.092,-70.1979,69.6,74,23,9.44
235,Kaeo,NZ,2021-04-08 01:58:21,-35.1,173.7833,69.76,65,60,6.51
236,Coahuayana,MX,2021-04-08 01:58:21,18.7333,-103.6833,71.13,77,0,2.13
237,Tuktoyaktuk,CA,2021-04-08 01:58:22,69.4541,-133.0374,-5.8,77,20,6.91
238,Bambous Virieux,MU,2021-04-08 01:58:22,-20.3428,57.7575,79.0,88,75,9.22
239,Iqaluit,CA,2021-04-08 01:58:22,63.7506,-68.5145,32.0,100,90,28.77
240,Cherskiy,RU,2021-04-08 01:58:23,68.75,161.3,1.67,84,100,3.8
241,Samarai,PG,2021-04-08 01:58:23,-10.6167,150.6667,83.14,73,100,5.14
242,Cayenne,GF,2021-04-08 01:58:24,4.9333,-52.3333,75.2,100,75,1.14
243,Miri,MY,2021-04-08 01:58:24,4.4148,114.0089,80.6,83,40,6.91
244,Flin Flon,CA,2021-04-08 01:58:25,54.7682,-101.865,40.03,90,94,14.25
245,Kahului,US,2021-04-08 01:58:25,20.8947,-156.47,78.8,53,40,21.85
246,Jambi,ID,2021-04-08 01:58:25,-1.6,103.6167,78.93,85,100,5.79
247,Itoman,JP,2021-04-08 01:58:26,26.1247,127.6694,73.0,56,40,9.22
248,Zaysan,KZ,2021-04-08 01:58:26,47.4667,84.8667,48.2,61,10,3.18
249,Chokurdakh,RU,2021-04-08 01:58:26,70.6333,147.9167,1.33,84,30,3.53
250,Hay River,CA,2021-04-08 01:58:27,60.8156,-115.7999,19.4,93,100,10.36
251,Port Hardy,CA,2021-04-08 01:58:27,50.6996,-127.4199,42.8,87,75,8.05
252,Chumikan,RU,2021-04-08 01:58:28,54.7183,135.315,26.67,91,100,10.6
253,Prince Rupert,CA,2021-04-08 01:57:24,54.3161,-130.3201,42.8,65,20,9.22
254,Sao Joao Da Barra,BR,2021-04-08 01:58:28,-21.6403,-41.0511,71.44,79,13,2.91
255,Caravelas,BR,2021-04-08 01:58:29,-17.7125,-39.2481,73.36,87,100,9.91
256,Ust-Nera,RU,2021-04-08 01:58:29,64.5667,143.2,11.98,85,100,4.09
257,Mana,GF,2021-04-08 01:58:29,5.6592,-53.7767,75.43,92,100,5.82
258,Kjollefjord,NO,2021-04-08 01:58:30,70.9457,27.3465,27.37,81,66,11.23
259,Meleuz,RU,2021-04-08 01:58:30,52.9667,55.9167,33.22,98,100,4.43
260,Tela,HN,2021-04-08 01:58:31,15.7833,-87.45,79.0,88,75,4.61
261,Leningradskiy,RU,2021-04-08 01:58:31,69.3833,178.4167,-5.4,89,76,9.66
262,North Bend,US,2021-04-08 01:58:31,43.4065,-124.2243,50.0,81,90,11.5
263,Dawlatabad,AF,2021-04-08 01:58:32,36.4141,64.9053,59.85,42,0,2.98
264,Emba,KZ,2021-04-08 01:58:32,48.8264,58.1442,37.87,86,100,1.36
265,Toowoomba,AU,2021-04-08 01:58:32,-27.55,151.9667,75.99,64,40,8.05
266,Mayya,RU,2021-04-08 01:58:33,61.7333,130.2811,8.6,56,0,6.71
267,Zherdevka,RU,2021-04-08 01:58:33,51.8486,41.4606,42.8,93,26,12.1
268,Cedar City,US,2021-04-08 01:58:33,37.6775,-113.0619,64.4,8,1,19.57
269,Khatanga,RU,2021-04-08 01:58:34,71.9667,102.5,-5.69,96,100,3.53
270,Brigantine,US,2021-04-08 01:58:34,39.4101,-74.3646,48.2,66,1,4.61
271,Vangaindrano,MG,2021-04-08 01:58:35,-23.35,47.6,70.34,85,18,3.0
272,Sobolevo,RU,2021-04-08 01:58:35,54.4299,31.8996,30.29,87,100,9.24
273,Maniitsoq,GL,2021-04-08 01:57:44,65.4167,-52.9,28.56,65,100,8.63
274,Mae Hong Son,TH,2021-04-08 01:58:36,19.3003,97.9685,75.2,83,40,2.3
275,Farafangana,MG,2021-04-08 01:58:36,-22.8167,47.8333,71.1,87,27,4.38
276,Khatassy,RU,2021-04-08 01:58:36,61.9036,129.6383,8.6,56,0,6.71
277,Catuday,PH,2021-04-08 01:58:37,16.2923,119.8062,81.55,67,8,6.04
278,Takoradi,GH,2021-04-08 01:58:37,4.8845,-1.7554,80.64,87,77,6.2
279,Pakala,IN,2021-04-08 01:58:38,13.4667,79.1167,78.8,78,20,11.5
280,Portland,US,2021-04-08 01:56:01,45.5234,-122.6762,51.01,74,100,1.01
281,Ptichye,RU,2021-04-08 01:58:38,45.5168,41.7115,51.8,62,0,6.71
282,Yichang,CN,2021-04-08 01:58:38,30.7144,111.2847,63.03,62,34,2.1
